method,dataset,seed,bidirectional_chamfer,eps_stop,eval_eps_used,gen_chamfer,gen_manifold_dist,gt_to_learned_mean,gt_to_learned_p95,learned_to_gt_mean,learned_to_gt_p95,n_gt,n_learned,pred_FPrate,pred_manifold_dist,pred_on_mean_v,pred_precision,pred_recall,proj_manifold_dist,proj_steps,proj_true_dist,proj_v_residual
delta,6d_spatial_arm_up_n6_py,173,0.468644917011261,0.05777775123715401,0.05777775123715401,,,0.08191380649805069,0.14350223541259766,0.3867311179637909,1.5432062149047852,1024.0,4096.0,0.006591796875,0.5897613763809204,0.0008759626653045416,0.0,nan,0.37752553820610046,38.953125,0.5195456147193909,0.20979060232639313
delta,6d_spatial_arm_up_n6_py,271,0.44066041707992554,0.09485217928886414,0.09485217928886414,,,0.07784267514944077,0.13127343356609344,0.3628177344799042,1.501654028892517,1024.0,4096.0,0.0048828125,0.42901334166526794,0.001629762351512909,0.0,nan,0.3524356186389923,38.92041015625,0.5148065090179443,0.2919982373714447
delta,6d_spatial_arm_up_n6_py,509,0.559037983417511,0.08808492869138718,0.08808492869138718,,,0.08371448516845703,0.13851262629032135,0.47532349824905396,1.622175693511963,1024.0,4096.0,0.01708984375,0.8028483986854553,0.0015841221902519464,0.0,nan,0.4678162932395935,34.156494140625,0.5898631811141968,0.2470431923866272
delta,6d_spatial_arm_up_n6_py,877,0.5937050580978394,0.08132700622081757,0.08132700622081757,,,0.08150915056467056,0.14093774557113647,0.512195885181427,1.741054892539978,1024.0,4096.0,0.009765625,0.7065558433532715,0.0015028787311166525,0.0,nan,0.5032546520233154,33.7099609375,0.6237715482711792,0.24176180362701416
delta,6d_spatial_arm_up_n6_py,1123,0.63001549243927,0.07365601509809494,0.07365601509809494,,,0.08911821246147156,0.1551477015018463,0.5408973097801208,1.6615617275238037,1024.0,4096.0,0.013427734375,0.8380388021469116,0.0012003214797005057,0.0,nan,0.532561182975769,36.61572265625,0.6420916318893433,0.2297501415014267
delta,6d_workspace_sine_surface_pose,173,0.276155948638916,0.03439313545823097,0.03439313545823097,,,0.06290563195943832,0.10624470561742783,0.2132503092288971,0.8302111029624939,1024.0,4096.0,0.00146484375,0.31424301862716675,0.00026955088833346963,0.0,nan,0.10548268258571625,35.876220703125,0.3519188165664673,0.01987898349761963
delta,6d_workspace_sine_surface_pose,271,0.28923022747039795,0.030731847509741783,0.030731847509741783,,,0.06428635120391846,0.10605520755052567,0.22494389116764069,0.8689988851547241,1024.0,4096.0,0.0031746031746031746,0.29581794142723083,0.000205672113224864,0.07142857142857142,1.0,0.11603166162967682,34.065673828125,0.35349398851394653,0.015168177895247936
delta,6d_workspace_sine_surface_pose,509,0.2940059304237366,0.03653091564774513,0.03653091564774513,,,0.06749327480792999,0.10655457526445389,0.22651267051696777,0.8639591336250305,1024.0,4096.0,0.003907203907203907,0.18647675216197968,0.0003010646323673427,0.058823529411764705,1.0,0.11619571596384048,34.100830078125,0.3513794541358948,0.01934383437037468
delta,6d_workspace_sine_surface_pose,877,0.29282814264297485,0.020754776895046234,0.020754776895046234,,,0.06612013280391693,0.11340523511171341,0.22670802474021912,0.8959633111953735,1024.0,4096.0,0.002197265625,0.1277914047241211,8.677206642460078e-05,0.0,nan,0.11301394551992416,36.6806640625,0.3535292148590088,0.01514654140919447
delta,6d_workspace_sine_surface_pose,1123,0.37657204270362854,0.04593854770064354,0.04593854770064354,,,0.09791424870491028,0.16144657135009766,0.27865779399871826,0.8783025741577148,1024.0,4096.0,0.01855921855921856,0.4364882707595825,0.0004230824997648597,0.012987012987012988,1.0,0.1956651210784912,34.513916015625,0.43782609701156616,0.015413304790854454
